,,


As of:,"Feb 16, 2018"

,,
Effective date ,S&P 500 VIX Short-Term Index MCAP
8/17/2012,4578.7
8/20/2012,4581.29
8/21/2012,4705.29
8/22/2012,4768.04
8/23/2012,4843.52
8/24/2012,4666.78
8/27/2012,4722.5
8/28/2012,4768.82
8/29/2012,4829.52
8/30/2012,4926.64
8/31/2012,4742.41
9/4/2012,4655.91
9/5/2012,4548.65
9/6/2012,4096.71
9/7/2012,3862.87
9/10/2012,4129.14
9/11/2012,4104.87
9/12/2012,3929.77
9/13/2012,3679.37
9/14/2012,3881.93
9/17/2012,3763.05
9/18/2012,3627.1
9/19/2012,3582.47
9/20/2012,3660.2
9/21/2012,3587.3
9/24/2012,3549.43
9/25/2012,3800.78
9/26/2012,3928.76
9/27/2012,3603.09
9/28/2012,3667.92
10/1/2012,3760.4
10/2/2012,3685.45
10/3/2012,3648.12
10/4/2012,3546.09
10/5/2012,3522.82
10/8/2012,3554.44
10/9/2012,3700.19
10/10/2012,3718.48
10/11/2012,3595.72
10/12/2012,3689.01
10/15/2012,3511.45
10/16/2012,3431.27
10/17/2012,3369.83
10/18/2012,3419.69
10/19/2012,3602.39
10/22/2012,3547.88
10/23/2012,3907.52
10/24/2012,3822.23
10/25/2012,3743.09
10/26/2012,3735.81
10/31/2012,3871.07
11/1/2012,3497.53
11/2/2012,3659.34
11/5/2012,3719.64
11/6/2012,3537.16
11/7/2012,3849.27
11/8/2012,3798.54
11/9/2012,3845.62
11/12/2012,3582.91
11/13/2012,3553.15
11/14/2012,3715.47
11/15/2012,3746.68
11/16/2012,3551.26
11/19/2012,3238.66
11/20/2012,3200.31
11/21/2012,3210.07
11/23/2012,3141.18
11/26/2012,3045.8
11/27/2012,3145.17
11/28/2012,3027.28
11/29/2012,2977.41
11/30/2012,3025.02
12/3/2012,3163.64
12/4/2012,3190.18
12/5/2012,3102.63
12/6/2012,3158.18
12/7/2012,3084.42
12/10/2012,3061.23
12/11/2012,2966.32
12/12/2012,3080.17
12/13/2012,3128.06
12/14/2012,3112.3
12/17/2012,2986.35
12/18/2012,2920.08
12/19/2012,3091.85
12/20/2012,3162.49
12/21/2012,3290.48
12/24/2012,3362.41
12/26/2012,3505.14
12/27/2012,3445.77
12/28/2012,3987.17
12/31/2012,3235.67
1/2/2013,2887.23
1/3/2013,2931.86
1/4/2013,2859.73
1/7/2013,2794.85
1/8/2013,2788.99
1/9/2013,2785.11
1/10/2013,2725.24
1/11/2013,2709.41
1/14/2013,2700.85
1/15/2013,2677.66
1/16/2013,2626.82
1/17/2013,2657.88
1/18/2013,2487.85
1/22/2013,2379.85
1/23/2013,2321.75
1/24/2013,2354.36
1/25/2013,2373.84
1/28/2013,2437.68
1/29/2013,2358.12
1/30/2013,2518.02
1/31/2013,2494.5
2/1/2013,2420.72
2/4/2013,2531.19
2/5/2013,2452.34
2/6/2013,2412.23
2/7/2013,2410.55
2/8/2013,2362.83
2/11/2013,2343.67
2/12/2013,2317.14
2/13/2013,2309.32
2/14/2013,2278.76
2/15/2013,2270.34
2/19/2013,2175.4
2/20/2013,2395.65
2/21/2013,2412.69
2/22/2013,2320.28
2/25/2013,2705.78
2/26/2013,2636.61
2/27/2013,2406.18
2/28/2013,2511.61
3/1/2013,2549.9
3/4/2013,2358.78
3/5/2013,2302.53
3/6/2013,2312.05
3/7/2013,2255.13
3/8/2013,2219.82
3/11/2013,2115.23
3/12/2013,2164.03
3/13/2013,2142.86
3/14/2013,2120.56
3/15/2013,2133.5
3/18/2013,2241.88
3/19/2013,2248.58
3/20/2013,2117.18
3/21/2013,2180.63
3/22/2013,2158.94
3/25/2013,2124.09
3/26/2013,2078.43
3/27/2013,2103.22
3/28/2013,2079.3
4/1/2013,2104.98
4/2/2013,2026.53
4/3/2013,2122.24
4/4/2013,2081.17
4/5/2013,2083
4/8/2013,2012.48
4/9/2013,2005.61
4/10/2013,1932.21
4/11/2013,1933.65
4/12/2013,1885.21
4/15/2013,2242.35
4/16/2013,1980.49
4/17/2013,2208.75
4/18/2013,2309.39
4/19/2013,2147.69
4/22/2013,2059.93
4/23/2013,1960.86
4/24/2013,1971.52
4/25/2013,1989.87
4/26/2013,1993.59
4/29/2013,1986.97
4/30/2013,1954.47
5/1/2013,2038.82
5/2/2013,1968.59
5/3/2013,1932.39
5/6/2013,1890.01
5/7/2013,1883.49
5/8/2013,1906.9
5/9/2013,1936.99
5/10/2013,1900.53
5/13/2013,1893.33
5/14/2013,1885.37
5/15/2013,1899.43
5/16/2013,1925.92
5/17/2013,1886.6
5/20/2013,1887.61
5/21/2013,1925.05
5/22/2013,1912.55
5/23/2013,1937.13
5/24/2013,1936.48
5/28/2013,1902.32
5/29/2013,1923.07
5/30/2013,1927.91
5/31/2013,2005.48
6/3/2013,1994.91
6/4/2013,2007.06
6/5/2013,2102.03
6/6/2013,2044.78
6/7/2013,1982.26
6/10/2013,1958.24
6/11/2013,2081.14
6/12/2013,2207.24
6/13/2013,2090.68
6/14/2013,2164.94
6/17/2013,2104.29
6/18/2013,2086.52
6/19/2013,2074.7
6/20/2013,2316.16
6/21/2013,2246.91
6/24/2013,2377.82
6/25/2013,2304.03
6/26/2013,2241.17
6/27/2013,2168.56
6/28/2013,2151
7/1/2013,2101.81
7/2/2013,2098.74
7/3/2013,2073.34
7/5/2013,1949.5
7/8/2013,1873
7/9/2013,1856.08
7/10/2013,1823.3
7/11/2013,1787.99
7/12/2013,1804.96
7/15/2013,1752.55
7/16/2013,1801.43
7/17/2013,1734.72
7/18/2013,1718.54
7/19/2013,1659.14
7/22/2013,1635.84
7/23/2013,1630.37
7/24/2013,1644.55
7/25/2013,1611.96
7/26/2013,1606.54
7/29/2013,1624.67
7/30/2013,1590.92
7/31/2013,1552.38
8/1/2013,1518.05
8/2/2013,1472.82
8/5/2013,1456.75
8/6/2013,1496.56
8/7/2013,1515.44
8/8/2013,1490.79
8/9/2013,1525.52
8/12/2013,1504.82
8/13/2013,1490.81
8/14/2013,1516.45
8/15/2013,1582.57
8/16/2013,1571.59
8/19/2013,1609.09
8/20/2013,1579.77
8/21/2013,1625.2
8/22/2013,1560.3
8/23/2013,1536.27
8/26/2013,1598.11
8/27/2013,1729.56
8/28/2013,1741.87
8/29/2013,1741.87
8/30/2013,1758.57
9/3/2013,1700.51
9/4/2013,1688.05
9/5/2013,1666.29
9/6/2013,1676.1
9/9/2013,1607.62
9/10/2013,1557.58
9/11/2013,1499.29
9/12/2013,1508.2
9/13/2013,1508.2
9/16/2013,1485.7
9/17/2013,1476.37
9/18/2013,1404.7
9/19/2013,1409.22
9/20/2013,1432.92
9/23/2013,1464.56
9/24/2013,1439.15
9/25/2013,1437.98
9/26/2013,1414.63
9/27/2013,1470
9/30/2013,1529.39
10/1/2013,1464.11
10/2/2013,1535.69
10/3/2013,1600.94
10/4/2013,1559.47
10/7/2013,1695.1
10/8/2013,1768.36
10/9/2013,1728.02
10/10/2013,1546.27
10/11/2013,1501.35
10/14/2013,1523.88
10/15/2013,1591.08
10/16/2013,1430.14
10/17/2013,1338.59
10/18/2013,1319.2
10/21/2013,1342.03
10/22/2013,1342.76
10/23/2013,1350.02
10/24/2013,1330.64
10/25/2013,1335.16
10/28/2013,1338.23
10/29/2013,1332.48
10/30/2013,1339.65
10/31/2013,1335.18
11/1/2013,1337.14
11/4/2013,1292.72
11/5/2013,1299.63
11/6/2013,1275.79
11/7/2013,1318.56
11/8/2013,1267.51
11/11/2013,1253.87
11/12/2013,1258.23
11/13/2013,1246.09
11/14/2013,1239.7
11/15/2013,1219.75
11/18/2013,1218.22
11/19/2013,1235.65
11/20/2013,1205.82
11/21/2013,1167.52
11/22/2013,1157.35
11/25/2013,1158.89
11/26/2013,1164.58
11/27/2013,1172.86
11/29/2013,1179.79
12/2/2013,1199.43
12/3/2013,1226.31
12/4/2013,1205.31
12/5/2013,1221.11
12/6/2013,1177.27
12/9/2013,1161.17
12/10/2013,1171.73
12/11/2013,1224.14
12/12/2013,1235.7
12/13/2013,1236.96
12/16/2013,1258.18
12/17/2013,1244.52
12/18/2013,1160.49
12/19/2013,1156.87
12/20/2013,1155.78
12/23/2013,1113.29
12/24/2013,1075.25
12/26/2013,1073.47
12/27/2013,1093.77
12/30/2013,1109.4
12/31/2013,1109.05
1/2/2014,1130.06
1/3/2014,1118.44
1/6/2014,1106.86
1/7/2014,1085.49
1/8/2014,1087.07
1/9/2014,1090.55
1/10/2014,1067.79
1/13/2014,1093.08
1/14/2014,1054.55
1/15/2014,1058.34
1/16/2014,1071.22
1/17/2014,1067.8
1/21/2014,1056.36
1/22/2014,1037.63
1/23/2014,1062.97
1/24/2014,1205.99
1/27/2014,1200.31
1/28/2014,1136.48
1/29/2014,1219.79
1/30/2014,1236.02
1/31/2014,1301.15
2/3/2014,1409.19
2/4/2014,1378.81
2/5/2014,1412.17
2/6/2014,1268.97
2/7/2014,1175.86
2/10/2014,1176.84
2/11/2014,1134.89
2/12/2014,1109.43
2/13/2014,1106.89
2/14/2014,1087.17
2/18/2014,1069.83
2/19/2014,1140.16
2/20/2014,1107.09
2/21/2014,1120.69
2/24/2014,1110.8
2/25/2014,1103.43
2/26/2014,1131.88
2/27/2014,1119.51
2/28/2014,1130.52
3/3/2014,1217.04
3/4/2014,1122.83
3/5/2014,1124.56
3/6/2014,1119.38
3/7/2014,1145.26
3/10/2014,1143.16
3/11/2014,1158.64
3/12/2014,1146.24
3/13/2014,1200.68
3/14/2014,1241.42
3/17/2014,1170.29
3/18/2014,1130.44
3/19/2014,1158.85
3/20/2014,1140.46
3/21/2014,1158.49
3/24/2014,1155.58
3/25/2014,1138.46
3/26/2014,1164.61
3/27/2014,1144.31
3/28/2014,1133.58
3/31/2014,1102.99
4/1/2014,1065.17
4/2/2014,1072.27
4/3/2014,1061.65
4/4/2014,1087.7
4/7/2014,1114.7
4/8/2014,1095.11
4/9/2014,1068.22
4/10/2014,1131.52
4/11/2014,1165.46
4/14/2014,1161.13
4/15/2014,1145.84
4/16/2014,1107.53
4/17/2014,1086.8
4/21/2014,1073.78
4/22/2014,1062.94
4/23/2014,1071.02
4/24/2014,1080.1
4/25/2014,1087.87
4/28/2014,1062.3
4/29/2014,1048.54
4/30/2014,1049.82
5/1/2014,1045.83
5/2/2014,1048.96
5/5/2014,1030.2
5/6/2014,1042.25
5/7/2014,1018.51
5/8/2014,1019.77
5/9/2014,999.54
5/12/2014,969.7
5/13/2014,972.21
5/14/2014,963.46
5/15/2014,976.74
5/16/2014,958.53
5/19/2014,939.03
5/20/2014,942.31
5/21/2014,922.68
5/22/2014,919.76
5/23/2014,910.71
5/27/2014,882.12
5/28/2014,883.47
5/29/2014,875.55
5/30/2014,877.56
6/2/2014,872.4
6/3/2014,876.04
6/4/2014,866.81
6/5/2014,834.18
6/6/2014,790.31
6/9/2014,800.7
6/10/2014,789.4
6/11/2014,807.87
6/12/2014,848.02
6/13/2014,827.78
6/16/2014,828.42
6/17/2014,806.24
6/18/2014,761.28
6/19/2014,767.25
6/20/2014,773.2
6/23/2014,756.37
6/24/2014,782.74
6/25/2014,757.85
6/26/2014,761.86
6/27/2014,756.03
6/30/2014,745.63
7/1/2014,726.73
7/2/2014,718.08
7/3/2014,711.13
7/7/2014,727.54
7/8/2014,733.99
7/9/2014,721.28
7/10/2014,752.61
7/11/2014,742.33
7/14/2014,716.02
7/15/2014,729.8
7/16/2014,712.96
7/17/2014,768.16
7/18/2014,729.71
7/21/2014,751.01
7/22/2014,730.08
7/23/2014,733.97
7/24/2014,742.95
7/25/2014,758.76
7/28/2014,750.49
7/29/2014,755
7/30/2014,760.49
7/31/2014,840.05
8/1/2014,880.02
8/4/2014,829.77
8/5/2014,884.67
8/6/2014,889.04
8/7/2014,910.15
8/8/2014,880.19
8/11/2014,828.39
8/12/2014,820.21
8/13/2014,775.52
8/14/2014,747.46
8/15/2014,749.42
8/18/2014,721.49
8/19/2014,725.92
8/20/2014,725.92
8/21/2014,720.7
8/22/2014,726.05
8/25/2014,718.47
8/26/2014,724.91
8/27/2014,730.2
8/28/2014,732.01
8/29/2014,740.6
9/2/2014,741.29
9/3/2014,730.69
9/4/2014,730.56
9/5/2014,715.39
9/8/2014,719.88
9/9/2014,738.6
9/10/2014,734.68
9/11/2014,733.06
9/12/2014,750
9/15/2014,770.11
9/16/2014,728
9/17/2014,720.42
9/18/2014,710.43
9/19/2014,715.66
9/22/2014,751.83
9/23/2014,776.51
9/24/2014,740.94
9/25/2014,793.65
9/26/2014,773.96
9/29/2014,815.68
9/30/2014,819.07
10/1/2014,844.98
10/2/2014,829.74
10/3/2014,770.9
10/6/2014,794.36
10/7/2014,851.65
10/8/2014,770.26
10/9/2014,846.3
10/10/2014,943.21
10/13/2014,1063.03
10/14/2014,999.17
10/15/2014,1123.69
10/16/2014,1066.19
10/17/2014,1009.66
10/20/2014,923.08
10/21/2014,853.4
10/22/2014,911.3
10/23/2014,871.14
10/24/2014,854.02
10/27/2014,852.51
10/28/2014,792.59
10/29/2014,820.27
10/30/2014,814.99
10/31/2014,799.14
11/3/2014,807.69
11/4/2014,804.93
11/5/2014,782.36
11/6/2014,760.96
11/7/2014,760.46
11/10/2014,728.68
11/11/2014,726.7
11/12/2014,743.42
11/13/2014,760.23
11/14/2014,747.17
11/17/2014,749.38
11/18/2014,746.2
11/19/2014,755.95
11/20/2014,739.31
11/21/2014,730.63
11/24/2014,712.84
11/25/2014,708.53
11/26/2014,697.83
11/28/2014,723.51
12/1/2014,758.21
12/2/2014,699.38
12/3/2014,701.61
12/4/2014,690.03
12/5/2014,680.47
12/8/2014,722.61
12/9/2014,725.52
12/10/2014,809.75
12/11/2014,876.78
12/12/2014,880.39
12/15/2014,863.98
12/16/2014,931.24
12/17/2014,817.73
12/18/2014,796.7
12/19/2014,767.5
12/22/2014,761.73
12/23/2014,740.38
12/24/2014,753.12
12/26/2014,734.77
12/29/2014,745.49
12/30/2014,760.66
12/31/2014,826.2
1/2/2015,821.23
1/5/2015,873.06
1/6/2015,900.39
1/7/2015,855.7
1/8/2015,808.66
1/9/2015,850.4
1/12/2015,885.41
1/13/2015,903.96
1/14/2015,912.88
1/15/2015,954.02
1/16/2015,923.43
1/20/2015,922.5
1/21/2015,865.2
1/22/2015,819.62
1/23/2015,842.03
1/26/2015,791.21
1/27/2015,819
1/28/2015,931.16
1/29/2015,869.32
1/30/2015,948.84
2/2/2015,908.91
2/3/2015,870.39
2/4/2015,908.04
2/5/2015,866.9
2/6/2015,889.08
2/9/2015,907.32
2/10/2015,868.58
2/11/2015,864.44
2/12/2015,820.67
2/13/2015,815.84
2/17/2015,819.4
2/18/2015,802.57
2/19/2015,791.76
2/20/2015,760.58
2/23/2015,765.21
2/24/2015,727.43
2/25/2015,741.27
2/26/2015,726.26
2/27/2015,719.02
3/2/2015,698.91
3/3/2015,716.52
3/4/2015,715.44
3/5/2015,701.76
3/6/2015,735.19
3/9/2015,723.67
3/10/2015,761.45
3/11/2015,769.37
3/12/2015,720.93
3/13/2015,740.43
3/16/2015,724.14
3/17/2015,719.15
3/18/2015,683.97
3/19/2015,684.41
3/20/2015,671.32
3/23/2015,667.87
3/24/2015,661.02
3/25/2015,687.23
3/26/2015,681.29
3/27/2015,673.48
3/30/2015,657.18
3/31/2015,676.11
4/1/2015,668.31
4/2/2015,657.12
4/6/2015,643.43
4/7/2015,642.1
4/8/2015,627.54
4/9/2015,604.78
4/10/2015,576.76
4/13/2015,602.4
4/14/2015,584.84
4/15/2015,573.61
4/16/2015,566.3
4/17/2015,586.3
4/20/2015,568.66
4/21/2015,566.81
4/22/2015,559.46
4/23/2015,552.56
4/24/2015,549.94
4/27/2015,565.79
4/28/2015,544.19
4/29/2015,564.41
4/30/2015,575.85
5/1/2015,545.07
5/4/2015,545.07
5/5/2015,567.78
5/6/2015,577.36
5/7/2015,569.64
5/8/2015,545.18
5/11/2015,561.35
5/12/2015,552.18
5/13/2015,544.5
5/14/2015,532.41
5/15/2015,529.16
5/18/2015,510.64
5/19/2015,507.15
5/20/2015,507.15
5/21/2015,488.65
5/22/2015,492.39
5/26/2015,507.89
5/27/2015,495.18
5/28/2015,494.39
5/29/2015,498.85
6/1/2015,497.2
6/2/2015,506.4
6/3/2015,492.31
6/4/2015,508.48
6/5/2015,503.17
6/8/2015,515.29
6/9/2015,506.23
6/10/2015,483.36
6/11/2015,473.42
6/12/2015,483.51
6/15/2015,506.21
6/16/2015,494.05
6/17/2015,493.26
6/18/2015,473.04
6/19/2015,487.05
6/22/2015,459.43
6/23/2015,446.15
6/24/2015,460.75
6/25/2015,461.91
6/26/2015,458.36
6/29/2015,537.12
6/30/2015,535.57
7/1/2015,494.92
7/2/2015,523.65
7/6/2015,533.68
7/7/2015,509.27
7/8/2015,563.19
7/9/2015,577.44
7/10/2015,525.53
7/13/2015,469.95
7/14/2015,466.88
7/15/2015,460.79
7/16/2015,433.24
7/17/2015,431.91
7/20/2015,425.37
7/21/2015,425.18
7/22/2015,423.69
7/23/2015,426.67
7/24/2015,444.46
7/27/2015,468.77
7/28/2015,430.7
7/29/2015,423.35
7/30/2015,419.84
7/31/2015,420.79
8/3/2015,416.73
8/4/2015,422
8/5/2015,418.41
8/6/2015,429.43
8/7/2015,423.72
8/10/2015,410.28
8/11/2015,429.83
8/12/2015,424.54
8/13/2015,419.19
8/14/2015,420.81
8/17/2015,417.03
8/18/2015,421.63
8/19/2015,436.92
8/20/2015,480.41
8/21/2015,548.09
8/24/2015,687.54
8/25/2015,692.26
8/26/2015,651.11
8/27/2015,660.49
8/28/2015,668.4
8/31/2015,720.22
9/1/2015,803
9/2/2015,721.67
9/3/2015,717.38
9/4/2015,778.36
9/8/2015,702.58
9/9/2015,725.99
9/10/2015,699.16
9/11/2015,683.71
9/14/2015,682.15
9/15/2015,611.27
9/16/2015,567.88
9/17/2015,610.5
9/18/2015,642.95
9/21/2015,590.04
9/22/2015,649.1
9/23/2015,630.81
9/24/2015,651.52
9/25/2015,665.47
9/28/2015,711.38
9/29/2015,706.98
9/30/2015,684.92
10/1/2015,662.04
10/2/2015,630.09
10/5/2015,596.83
10/6/2015,610.5
10/7/2015,586.48
10/8/2015,562.33
10/9/2015,556.8
10/12/2015,518.2
10/13/2015,564.11
10/14/2015,565.62
10/15/2015,517.67
10/16/2015,513.28
10/19/2015,480.04
10/20/2015,512.11
10/21/2015,548.21
10/22/2015,482.71
10/23/2015,499.42
10/26/2015,509.03
10/27/2015,496.19
10/28/2015,482.4
10/29/2015,487.9
10/30/2015,500.21
11/2/2015,478.61
11/3/2015,486.65
11/4/2015,502.85
11/5/2015,483.9
11/6/2015,473.64
11/9/2015,506.47
11/10/2015,488.22
11/11/2015,502.06
11/12/2015,543.97
11/13/2015,580.03
11/16/2015,521.08
11/17/2015,540.38
11/18/2015,518.5
11/19/2015,530.31
11/20/2015,509.12
11/23/2015,497.3
11/24/2015,509.48
11/25/2015,491.49
11/27/2015,501.64
11/30/2015,495.38
12/1/2015,473.47
12/2/2015,489.31
12/3/2015,524.43
12/4/2015,479.53
12/7/2015,486.25
12/8/2015,512.88
12/9/2015,536.34
12/10/2015,540.65
12/11/2015,626.47
12/14/2015,584.8
12/15/2015,540.28
12/16/2015,518.81
12/17/2015,551.36
12/18/2015,583.83
12/21/2015,539.32
12/22/2015,511.84
12/23/2015,513.59
12/24/2015,522.77
12/28/2015,510.52
12/29/2015,501.64
12/30/2015,524.38
12/31/2015,528.37
1/4/2016,555.93
1/5/2016,546.94
1/6/2016,566.55
1/7/2016,634.65
1/8/2016,675.66
1/11/2016,638.83
1/12/2016,609.82
1/13/2016,671.77
1/14/2016,646.13
1/15/2016,708.17
1/19/2016,698.38
1/20/2016,718.73
1/21/2016,728.62
1/22/2016,661.44
1/25/2016,698.05
1/26/2016,666.78
1/27/2016,690.55
1/28/2016,676.33
1/29/2016,633.2
2/1/2016,630.27
2/2/2016,672.63
2/3/2016,663.15
2/4/2016,672.03
2/5/2016,694.24
2/8/2016,725.23
2/9/2016,741.7
2/10/2016,746.18
2/11/2016,783.99
2/12/2016,762.51
2/16/2016,721.87
2/17/2016,694.61
2/18/2016,690.45
2/19/2016,678.28
2/22/2016,638.49
2/23/2016,671.71
2/24/2016,659.65
2/25/2016,633.28
2/26/2016,650.22
2/29/2016,659.86
3/1/2016,596
3/2/2016,593.01
3/3/2016,567.88
3/4/2016,583.99
3/7/2016,576.5
3/8/2016,603.48
3/9/2016,587.22
3/10/2016,581.77
3/11/2016,555.3
3/14/2016,547.48
3/15/2016,553.65
3/16/2016,530.44
3/17/2016,516.14
3/18/2016,514.94
3/21/2016,494.24
3/22/2016,490.66
3/23/2016,516.12
3/24/2016,507.57
3/28/2016,500.07
3/29/2016,471.31
3/30/2016,463.65
3/31/2016,466.64
4/1/2016,453.31
4/4/2016,466.54
4/5/2016,489.33
4/6/2016,460.02
4/7/2016,501.91
4/8/2016,490.05
4/11/2016,502.89
4/12/2016,479.83
4/13/2016,456.57
4/14/2016,451.43
4/15/2016,446.94
4/18/2016,424.33
4/19/2016,423.71
4/20/2016,428.93
4/21/2016,438.29
4/22/2016,423.16
4/25/2016,424.84
4/26/2016,417.94
4/27/2016,406.83
4/28/2016,430.93
4/29/2016,441.85
5/2/2016,417.42
5/3/2016,437.36
5/4/2016,442.28
5/5/2016,440.63
5/6/2016,419.98
5/9/2016,413.18
5/10/2016,391.28
5/11/2016,412.95
5/12/2016,401.63
5/13/2016,415.87
5/16/2016,400.5
5/17/2016,413.49
5/18/2016,415.22
5/19/2016,412.93
5/20/2016,398.78
5/23/2016,404.01
5/24/2016,380.37
5/25/2016,374.22
5/26/2016,367.47
5/27/2016,359.53
5/31/2016,356.88
6/1/2016,357.4
6/2/2016,348.78
6/3/2016,347.25
6/6/2016,341.91
6/7/2016,343.59
6/8/2016,344.98
6/9/2016,352.14
6/10/2016,380.81
6/13/2016,441.18
6/14/2016,433.47
6/15/2016,427.25
6/16/2016,416.05
6/17/2016,417.09
6/20/2016,384.98
6/21/2016,388.6
6/22/2016,402.37
6/23/2016,349.21
6/24/2016,463.43
6/27/2016,483.38
6/28/2016,393.52
6/29/2016,369.59
6/30/2016,361.9
7/1/2016,359.08
7/5/2016,360.39
7/6/2016,348.94
7/7/2016,345.14
7/8/2016,325.29
7/11/2016,323.71
7/12/2016,314.47
7/13/2016,314.05
7/14/2016,311.92
7/15/2016,314.87
7/18/2016,302.91
7/19/2016,301.3
7/20/2016,297.45
7/21/2016,304.34
7/22/2016,296.17
7/25/2016,295.52
7/26/2016,292.9
7/27/2016,286.39
7/28/2016,279.29
7/29/2016,269.55
8/1/2016,265.93
8/2/2016,275.1
8/3/2016,268.42
8/4/2016,261.34
8/5/2016,251.7
8/8/2016,247
8/9/2016,243.47
8/10/2016,249.46
8/11/2016,247.25
8/12/2016,245.07
8/15/2016,242.66
8/16/2016,251
8/17/2016,242.81
8/18/2016,238.84
8/19/2016,240.47
8/22/2016,241.38
8/23/2016,240.98
8/24/2016,247.49
8/25/2016,244.91
8/26/2016,247.05
8/29/2016,241.31
8/30/2016,239.56
8/31/2016,239.69
9/1/2016,239.34
9/2/2016,232.06
9/6/2016,224.12
9/7/2016,222.29
9/8/2016,224.54
9/9/2016,259.3
9/12/2016,244.34
9/13/2016,268.92
9/14/2016,277.2
9/15/2016,266.02
9/16/2016,255.08
9/19/2016,249.28
9/20/2016,253.61
9/21/2016,233.96
9/22/2016,223.2
9/23/2016,226.74
9/26/2016,235.93
9/27/2016,225.92
9/28/2016,222.18
9/29/2016,230.4
9/30/2016,228.66
10/3/2016,225.14
10/4/2016,223.04
10/5/2016,222
10/6/2016,219.91
10/7/2016,223.51
10/10/2016,216.81
10/11/2016,227.76
10/12/2016,232.03
10/13/2016,237.21
10/14/2016,234.08
10/17/2016,231.51
10/18/2016,224.51
10/19/2016,217.08
10/20/2016,213.14
10/21/2016,210.52
10/24/2016,202.23
10/25/2016,205.83
10/26/2016,210.65
10/27/2016,216.43
10/28/2016,222.2
10/31/2016,228.68
11/1/2016,235.72
11/2/2016,242.65
11/3/2016,255.91
11/4/2016,253.13
11/7/2016,217.15
11/8/2016,216.95
11/9/2016,204.9
11/10/2016,211.89
11/11/2016,209.43
11/14/2016,207.08
11/15/2016,197.59
11/16/2016,201.47
11/17/2016,194.47
11/18/2016,193.89
11/21/2016,187.67
11/22/2016,187.14
11/23/2016,187.41
11/25/2016,185.84
11/28/2016,187.1
11/29/2016,185.65
11/30/2016,187.82
12/1/2016,193.47
12/2/2016,194.36
12/5/2016,178.2
12/6/2016,174.01
12/7/2016,175.72
12/8/2016,176.54
12/9/2016,172.57
12/12/2016,176.9
12/13/2016,175.58
12/14/2016,174.56
12/15/2016,171.36
12/16/2016,169.92
12/19/2016,164.08
12/20/2016,161.09
12/21/2016,158.83
12/22/2016,161.67
12/23/2016,161.74
12/27/2016,158.57
12/28/2016,165.15
12/29/2016,167.18
12/30/2016,170.06
1/3/2017,157.02
1/4/2017,150.58
1/5/2017,148.99
1/6/2017,147.4
1/9/2017,146.57
1/10/2017,146.06
1/11/2017,143.22
1/12/2017,143.98
1/13/2017,142.72
1/17/2017,142.26
1/18/2017,142.26
1/19/2017,142.71
1/20/2017,138.79
1/23/2017,136.32
1/24/2017,130.81
1/25/2017,128.12
1/26/2017,127.64
1/27/2017,126.69
1/30/2017,129.49
1/31/2017,129.76
2/1/2017,126.9
2/2/2017,129.01
2/3/2017,125.9
2/6/2017,126.21
2/7/2017,126.49
2/8/2017,126.49
2/9/2017,123.26
2/10/2017,120.51
2/13/2017,117.78
2/14/2017,110.99
2/15/2017,116.18
2/16/2017,117.1
2/17/2017,118.47
2/21/2017,119.06
2/22/2017,119.58
2/23/2017,122.79
2/24/2017,121.52
2/27/2017,120.9
2/28/2017,122.93
3/1/2017,120.77
3/2/2017,120.59
3/3/2017,116.74
3/6/2017,115.47
3/7/2017,115.5
3/8/2017,115.44
3/9/2017,115.75
3/10/2017,113.81
3/13/2017,110.94
3/14/2017,113.21
3/15/2017,110.34
3/16/2017,106.79
3/17/2017,106.64
3/20/2017,105.8
3/21/2017,110.63
3/22/2017,111.84
3/23/2017,114.58
3/24/2017,111.76
3/27/2017,109.01
3/28/2017,104.04
3/29/2017,103.99
3/30/2017,103.07
3/31/2017,105.91
4/3/2017,106.83
4/4/2017,105.05
4/5/2017,109.56
4/6/2017,106.96
4/7/2017,110.02
4/10/2017,114.95
4/11/2017,118.11
4/12/2017,121.13
4/13/2017,123.21
4/17/2017,115.7
4/18/2017,115.55
4/19/2017,117.57
4/20/2017,115.58
4/21/2017,115.5
4/24/2017,103.1
4/25/2017,101.49
4/26/2017,100.99
4/27/2017,100.87
4/28/2017,100.36
5/1/2017,96.63
5/2/2017,97.34
5/3/2017,98.92
5/4/2017,96.39
5/5/2017,96.55
5/8/2017,94.58
5/9/2017,94.58
5/10/2017,94.78
5/11/2017,95.55
5/12/2017,94.02
5/15/2017,92
5/16/2017,91.38
5/17/2017,107.65
5/18/2017,108
5/19/2017,96.58
5/22/2017,93.01
5/23/2017,93.82
5/24/2017,91.21
5/25/2017,91.58
5/26/2017,90.84
5/30/2017,89.86
5/31/2017,89.73
6/1/2017,88.1
6/2/2017,88.44
6/5/2017,89.36
6/6/2017,90.83
6/7/2017,90.1
6/8/2017,88.51
6/9/2017,89
6/12/2017,89.83
6/13/2017,86.87
6/14/2017,86.94
6/15/2017,87.9
6/16/2017,87.1
6/19/2017,85.54
6/20/2017,85.27
6/21/2017,85.98
6/22/2017,84.61
6/23/2017,83.91
6/26/2017,82.17
6/27/2017,84.81
6/28/2017,82.66
6/29/2017,84.65
6/30/2017,86.09
7/3/2017,87.97
7/5/2017,86.9
7/6/2017,90.99
7/7/2017,88.3
7/10/2017,86.35
7/11/2017,85.43
