,,


As of:,"Feb 16, 2018"

,,
Effective date ,S&P 500 VIX Short-Term Index MCAP
12/26/2008,165851.71
12/29/2008,170115.02
12/30/2008,162850.56
12/31/2008,154796.83
1/2/2009,143330.82
1/5/2009,146084.63
1/6/2009,144159.58
1/7/2009,156466.25
1/8/2009,156247.92
1/9/2009,161643.29
1/12/2009,174657.12
1/13/2009,170894.82
1/14/2009,185503.29
1/15/2009,184247.28
1/16/2009,178375.96
1/20/2009,201239.87
1/21/2009,188244.37
1/22/2009,186181.16
1/23/2009,184854.7
1/26/2009,175758.61
1/27/2009,167061.38
1/28/2009,156505.12
1/29/2009,159399.38
1/30/2009,165015.54
2/2/2009,165993.02
2/3/2009,159198.94
2/4/2009,160576.93
2/5/2009,158456.06
2/6/2009,156578.88
2/9/2009,157509.5
2/10/2009,167432.37
2/11/2009,164494.41
2/12/2009,161293.51
2/13/2009,164318.14
2/17/2009,171460.64
2/18/2009,174576.11
2/19/2009,173572.92
2/20/2009,181742.17
2/23/2009,190832.73
2/24/2009,174192.39
2/25/2009,170462.55
2/26/2009,172565.78
2/27/2009,173922.99
3/2/2009,185330.83
3/3/2009,187164.31
3/4/2009,173049.47
3/5/2009,181053.85
3/6/2009,179229.23
3/9/2009,181731.28
3/10/2009,167846.78
3/11/2009,167348.21
3/12/2009,164507.49
3/13/2009,166810.09
3/16/2009,172580.69
3/17/2009,165143.24
3/18/2009,163744.86
3/19/2009,174693.97
3/20/2009,187966.42
3/23/2009,173694.95
3/24/2009,176193.33
3/25/2009,171615.21
3/26/2009,166730.98
3/27/2009,172296.48
3/30/2009,184495.8
3/31/2009,181514.66
4/1/2009,177305.11
4/2/2009,174329.32
4/3/2009,170642.17
4/6/2009,171945.84
4/7/2009,172527.22
4/8/2009,168726.93
4/9/2009,161584.97
4/13/2009,160325.67
4/14/2009,160113.18
4/15/2009,156879.37
4/16/2009,151041.65
4/17/2009,147978.08
4/20/2009,159412.36
4/21/2009,153135.48
4/22/2009,155239.89
4/23/2009,152609.56
4/24/2009,152893.59
4/27/2009,156548.36
4/28/2009,154685.37
4/29/2009,148082.05
4/30/2009,149751.36
5/1/2009,147613.43
5/4/2009,140812.25
5/5/2009,140570.04
5/6/2009,135631.42
5/7/2009,137484.8
5/8/2009,131833.49
5/11/2009,132700.19
5/12/2009,131756.15
5/13/2009,136152.75
5/14/2009,130421.65
5/15/2009,133651.48
5/18/2009,123886.2
5/19/2009,121932.64
5/20/2009,122334.36
5/21/2009,129090.36
5/22/2009,131143.92
5/26/2009,125096.09
5/27/2009,128848
5/28/2009,126707.81
5/29/2009,122307.03
6/1/2009,119328.01
6/2/2009,119746.03
6/3/2009,126067.04
6/4/2009,124582.22
6/5/2009,124054.28
6/8/2009,123125.81
6/9/2009,118891.76
6/10/2009,119611.32
6/11/2009,116951.19
6/12/2009,114985.3
6/15/2009,120575.35
6/16/2009,124743.8
6/17/2009,125706.88
6/18/2009,124744.23
6/19/2009,120937.39
6/22/2009,126142.69
6/23/2009,123637.22
6/24/2009,118570
6/25/2009,113178.91
6/26/2009,111233
6/29/2009,107269.05
6/30/2009,109136.43
7/1/2009,108165.44
7/2/2009,114109.44
7/6/2009,113065.04
7/7/2009,117403.33
7/8/2009,119047.72
7/9/2009,117438.32
7/10/2009,118005.66
7/13/2009,112466.33
7/14/2009,110404.15
7/15/2009,107021.41
7/16/2009,105751.57
7/17/2009,105775.23
7/20/2009,103428.65
7/21/2009,101422.43
7/22/2009,99055.83
7/23/2009,95645.64
7/24/2009,94869.27
7/27/2009,96156.32
7/28/2009,99520.68
7/29/2009,100634.42
7/30/2009,98347
7/31/2009,99301.4
8/3/2009,96770.31
8/4/2009,96088.14
8/5/2009,95653.05
8/6/2009,96702.27
8/7/2009,93526.53
8/10/2009,93579.49
8/11/2009,95393.4
8/12/2009,94201.47
8/13/2009,92371.48
8/14/2009,93881.27
8/17/2009,99517.61
8/18/2009,97246.09
8/19/2009,94254.39
8/20/2009,92451.16
8/21/2009,91089.49
8/24/2009,91177.18
8/25/2009,92182.84
8/26/2009,93800.19
8/27/2009,92539.26
8/28/2009,93447.5
8/31/2009,94800.36
9/1/2009,99376.34
9/2/2009,100725.91
9/3/2009,96083.73
9/4/2009,92915.44
9/8/2009,89871.94
9/9/2009,87295.34
9/10/2009,83240.58
9/11/2009,84299.84
9/14/2009,82219.25
9/15/2009,82452.97
9/16/2009,78808.95
9/17/2009,79257.54
9/18/2009,81209.67
9/21/2009,81096.04
9/22/2009,79412.53
9/23/2009,80072.27
9/24/2009,81573.36
9/25/2009,81830.11
9/28/2009,78932.09
9/29/2009,78920.48
9/30/2009,79748.98
10/1/2009,83266.62
10/2/2009,83414.23
10/5/2009,80631.02
10/6/2009,78774.36
10/7/2009,77895.02
10/8/2009,76965.64
10/9/2009,75409.58
10/12/2009,73434.31
10/13/2009,72756.39
10/14/2009,72121.1
10/15/2009,70497.83
